Row_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Country,City,State,Postal_Code,Region,Product_ID,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,Batch,Timestamp,Source
1,TEST-72914,2024-11-14,2025-04-12,Standard Class,CG-50309,Test-Customer-0,Corporate,United States,Chicago,California,60601,West,PROD-23169,Technology,Binders,Product 0,835.5,5,0.5,418.33,46,2025-04-30 19:54:37,stream
2,TEST-92546,2024-05-03,2025-04-20,First Class,CG-42047,Test-Customer-1,Consumer,United States,Chicago,Texas,85001,East,PROD-41802,Technology,Chairs,Product 1,932.54,6,0.4,437.87,46,2025-04-30 19:54:37,stream
3,TEST-49609,2024-10-04,2025-04-01,Standard Class,CG-31938,Test-Customer-2,Home Office,United States,New York,California,77001,Central,PROD-69085,Office Supplies,Binders,Product 2,235.98,7,0.2,150.08,46,2025-04-30 19:54:37,stream
4,TEST-92776,2025-03-17,2025-04-09,Second Class,CG-49352,Test-Customer-3,Consumer,United States,Chicago,New York,90001,East,PROD-57080,Furniture,Tables,Product 3,394.48,5,0.3,366.8,46,2025-04-30 19:54:37,stream
5,TEST-76575,2025-01-01,2025-04-27,First Class,CG-71301,Test-Customer-4,Corporate,United States,Phoenix,Illinois,60601,South,PROD-46828,Office Supplies,Storage,Product 4,18.19,6,0.3,350.09,46,2025-04-30 19:54:37,stream
6,TEST-39933,2024-10-11,2025-04-07,Standard Class,CG-36425,Test-Customer-5,Corporate,United States,New York,Texas,85001,East,PROD-69379,Furniture,Phones,Product 5,757.07,3,0.1,-49.14,46,2025-04-30 19:54:37,stream
7,TEST-60297,2024-12-07,2025-04-01,Same Day,CG-78640,Test-Customer-6,Home Office,United States,New York,Texas,90001,South,PROD-29656,Technology,Phones,Product 6,97.91,3,0.3,304.66,46,2025-04-30 19:54:37,stream
8,TEST-17288,2025-03-26,2025-04-05,Standard Class,CG-50021,Test-Customer-7,Consumer,United States,New York,New York,77001,East,PROD-85455,Technology,Storage,Product 7,332.34,1,0.5,420.31,46,2025-04-30 19:54:37,stream
9,TEST-84528,2025-04-18,2025-04-08,Standard Class,CG-90068,Test-Customer-8,Corporate,United States,Houston,Arizona,60601,East,PROD-21290,Office Supplies,Storage,Product 8,975.21,3,0.1,307.92,46,2025-04-30 19:54:37,stream
10,TEST-73196,2024-05-08,2025-04-22,First Class,CG-71858,Test-Customer-9,Corporate,United States,Houston,Texas,90001,West,PROD-50569,Office Supplies,Chairs,Product 9,668.47,2,0.0,32.63,46,2025-04-30 19:54:37,stream
